,heure,type,nb_pl,cam_num,cam_nom
19,6,Vehicules Legers,3706.0,"1,2",Rocade Ouest
20,6,PL locaux,261.7121771217712,"1,2",Rocade Ouest
21,7,PL en transit,7.1060917180013705,"1,2",Rocade Ouest
22,7,Vehicules Legers,8938.0,"1,2",Rocade Ouest
23,7,PL locaux,350.8939082819986,"1,2",Rocade Ouest
24,8,PL en transit,8.433121019108281,"1,2",Rocade Ouest
25,8,Vehicules Legers,8993.0,"1,2",Rocade Ouest
26,8,PL locaux,322.5668789808917,"1,2",Rocade Ouest
27,9,PL en transit,18.685626911314984,"1,2",Rocade Ouest
28,9,Vehicules Legers,6964.0,"1,2",Rocade Ouest
29,9,PL locaux,427.314373088685,"1,2",Rocade Ouest
30,10,PL en transit,23.73235460191982,"1,2",Rocade Ouest
31,10,Vehicules Legers,5543.0,"1,2",Rocade Ouest
32,10,PL locaux,443.26764539808016,"1,2",Rocade Ouest
33,11,PL en transit,14.462521008403362,"1,2",Rocade Ouest
34,11,Vehicules Legers,5681.0,"1,2",Rocade Ouest
35,11,PL locaux,411.53747899159663,"1,2",Rocade Ouest
36,12,PL en transit,7.634104541559554,"1,2",Rocade Ouest
37,12,Vehicules Legers,6285.0,"1,2",Rocade Ouest
38,12,PL locaux,294.36589545844043,"1,2",Rocade Ouest
39,13,PL en transit,6.3002461033634125,"1,2",Rocade Ouest
40,13,Vehicules Legers,6410.0,"1,2",Rocade Ouest
41,13,PL locaux,313.6997538966366,"1,2",Rocade Ouest
42,14,PL en transit,8.678758283920473,"1,2",Rocade Ouest
43,14,Vehicules Legers,6544.0,"1,2",Rocade Ouest
44,14,PL locaux,368.3212417160795,"1,2",Rocade Ouest
45,15,PL en transit,15.966999232540292,"1,2",Rocade Ouest
46,15,Vehicules Legers,6742.0,"1,2",Rocade Ouest
47,15,PL locaux,349.0330007674597,"1,2",Rocade Ouest
48,16,PL en transit,17.28426862925483,"1,2",Rocade Ouest
49,16,Vehicules Legers,8481.0,"1,2",Rocade Ouest
50,16,PL locaux,290.7157313707452,"1,2",Rocade Ouest
51,17,PL en transit,17.550000000000004,"1,2",Rocade Ouest
52,17,Vehicules Legers,8660.0,"1,2",Rocade Ouest
53,17,PL locaux,189.45,"1,2",Rocade Ouest
54,18,PL en transit,14.393602225312934,"1,2",Rocade Ouest
55,18,Vehicules Legers,7951.0,"1,2",Rocade Ouest
56,18,PL locaux,116.60639777468707,"1,2",Rocade Ouest
57,19,PL en transit,11.685649202733487,"1,2",Rocade Ouest
58,19,Vehicules Legers,6108.0,"1,2",Rocade Ouest
59,19,PL locaux,83.31435079726651,"1,2",Rocade Ouest
60,20,PL en transit,5.425170068027211,"1,2",Rocade Ouest
61,20,Vehicules Legers,3614.0,"1,2",Rocade Ouest
62,20,PL locaux,49.574829931972786,"1,2",Rocade Ouest
63,21,PL en transit,4.505888376856119,"1,2",Rocade Ouest
64,21,Vehicules Legers,2162.0,"1,2",Rocade Ouest
65,21,PL locaux,35.49411162314388,"1,2",Rocade Ouest
66,22,PL en transit,1.9867549668874174,"1,2",Rocade Ouest
67,22,Vehicules Legers,1727.0,"1,2",Rocade Ouest
68,22,PL locaux,28.013245033112582,"1,2",Rocade Ouest
69,23,PL en transit,1.2165450121654502,"1,2",Rocade Ouest
70,23,Vehicules Legers,1111.0,"1,2",Rocade Ouest
71,23,PL locaux,23.78345498783455,"1,2",Rocade Ouest
0,0,PL en transit,58.490730643402415,"11,12",A10
1,0,Vehicules Legers,118.0,"11,12",A10
2,0,PL locaux,47.509269356597585,"11,12",A10
3,1,PL en transit,56.94973262032086,"11,12",A10
4,1,Vehicules Legers,87.0,"11,12",A10
5,1,PL locaux,47.05026737967914,"11,12",A10
6,2,PL en transit,53.09246088193458,"11,12",A10
7,2,Vehicules Legers,83.0,"11,12",A10
8,2,PL locaux,32.90753911806542,"11,12",A10
9,3,PL en transit,44.05663189269747,"11,12",A10
10,3,Vehicules Legers,63.0,"11,12",A10
11,3,PL locaux,33.94336810730253,"11,12",A10
12,4,PL en transit,42.073510773130536,"11,12",A10
13,4,Vehicules Legers,86.0,"11,12",A10
14,4,PL locaux,43.926489226869464,"11,12",A10
15,5,PL en transit,78.16372618207481,"11,12",A10
16,5,Vehicules Legers,174.0,"11,12",A10
17,5,PL locaux,79.83627381792519,"11,12",A10
18,6,PL en transit,109.42208462332299,"11,12",A10
19,6,Vehicules Legers,533.0,"11,12",A10
20,6,PL locaux,120.57791537667701,"11,12",A10
21,7,PL en transit,72.62068965517243,"11,12",A10
22,7,Vehicules Legers,926.0,"11,12",A10
23,7,PL locaux,113.37931034482757,"11,12",A10
24,8,PL en transit,69.39006696428571,"11,12",A10
25,8,Vehicules Legers,1016.0,"11,12",A10
26,8,PL locaux,111.60993303571429,"11,12",A10
27,9,PL en transit,101.53453038674031,"11,12",A10
28,9,Vehicules Legers,1203.0,"11,12",A10
29,9,PL locaux,117.46546961325969,"11,12",A10
30,10,PL en transit,99.35633151030711,"11,12",A10
31,10,Vehicules Legers,1253.0,"11,12",A10
32,10,PL locaux,126.64366848969289,"11,12",A10
33,11,PL en transit,111.6818181818182,"11,12",A10
34,11,Vehicules Legers,1218.0,"11,12",A10
35,11,PL locaux,135.3181818181818,"11,12",A10
36,12,PL en transit,103.79329608938548,"11,12",A10
37,12,Vehicules Legers,1129.0,"11,12",A10
38,12,PL locaux,127.20670391061452,"11,12",A10
39,13,PL en transit,97.36510376633358,"11,12",A10
40,13,Vehicules Legers,1141.0,"11,12",A10
41,13,PL locaux,126.63489623366642,"11,12",A10
42,14,PL en transit,115.9989165763814,"11,12",A10
43,14,Vehicules Legers,1308.0,"11,12",A10
44,14,PL locaux,151.00108342361858,"11,12",A10
45,15,PL en transit,123.3911714770798,"11,12",A10
46,15,Vehicules Legers,1471.0,"11,12",A10
47,15,PL locaux,143.6088285229202,"11,12",A10
48,16,PL en transit,117.96957905907324,"11,12",A10
49,16,Vehicules Legers,1566.0,"11,12",A10
50,16,PL locaux,132.03042094092677,"11,12",A10
51,17,PL en transit,104.9238699444885,"11,12",A10
52,17,Vehicules Legers,1602.0,"11,12",A10
53,17,PL locaux,136.0761300555115,"11,12",A10
54,18,PL en transit,94.57058823529412,"11,12",A10
55,18,Vehicules Legers,1493.0,"11,12",A10
56,18,PL locaux,112.42941176470588,"11,12",A10
57,19,PL en transit,109.06103286384976,"11,12",A10
58,19,Vehicules Legers,1105.0,"11,12",A10
59,19,PL locaux,92.93896713615024,"11,12",A10
60,20,PL en transit,110.3551401869159,"11,12",A10
61,20,Vehicules Legers,726.0,"11,12",A10
62,20,PL locaux,81.6448598130841,"11,12",A10
63,21,PL en transit,87.54519161243672,"11,12",A10
64,21,Vehicules Legers,471.0,"11,12",A10
65,21,PL locaux,57.454808387563276,"11,12",A10
66,22,PL en transit,76.13409961685824,"11,12",A10
67,22,Vehicules Legers,325.0,"11,12",A10
68,22,PL locaux,47.86590038314176,"11,12",A10
69,23,PL en transit,73.3593117408907,"11,12",A10
70,23,Vehicules Legers,231.0,"11,12",A10
71,23,PL locaux,47.6406882591093,"11,12",A10
0,0,PL en transit,197.60636457973018,"5,6",A10/N10
1,0,Vehicules Legers,429.0,"5,6",A10/N10
2,0,PL locaux,172.39363542026982,"5,6",A10/N10
3,1,PL en transit,233.52394988946207,"5,6",A10/N10
4,1,Vehicules Legers,352.0,"5,6",A10/N10
5,1,PL locaux,115.47605011053793,"5,6",A10/N10
6,2,PL en transit,204.38781163434905,"5,6",A10/N10
7,2,Vehicules Legers,308.0,"5,6",A10/N10
8,2,PL locaux,117.61218836565095,"5,6",A10/N10
9,3,PL en transit,200.42089440060124,"5,6",A10/N10
10,3,Vehicules Legers,355.0,"5,6",A10/N10
11,3,PL locaux,134.57910559939876,"5,6",A10/N10
12,4,PL en transit,222.33025885153228,"5,6",A10/N10
13,4,Vehicules Legers,581.0,"5,6",A10/N10
14,4,PL locaux,173.66974114846772,"5,6",A10/N10
15,5,PL en transit,333.9021488871834,"5,6",A10/N10
16,5,Vehicules Legers,1414.0,"5,6",A10/N10
17,5,PL locaux,297.0978511128166,"5,6",A10/N10
18,6,PL en transit,413.2705649157583,"5,6",A10/N10
19,6,Vehicules Legers,3893.0,"5,6",A10/N10
20,6,PL locaux,391.7294350842417,"5,6",A10/N10
21,7,PL en transit,279.4247594844799,"5,6",A10/N10
22,7,Vehicules Legers,4306.0,"5,6",A10/N10
23,7,PL locaux,377.5752405155201,"5,6",A10/N10
24,8,PL en transit,251.30570394623473,"5,6",A10/N10
25,8,Vehicules Legers,4347.0,"5,6",A10/N10
26,8,PL locaux,361.69429605376524,"5,6",A10/N10
27,9,PL en transit,418.3541596685702,"5,6",A10/N10
28,9,Vehicules Legers,4077.0,"5,6",A10/N10
29,9,PL locaux,462.6458403314298,"5,6",A10/N10
30,10,PL en transit,481.59346249594114,"5,6",A10/N10
31,10,Vehicules Legers,3984.0,"5,6",A10/N10
32,10,PL locaux,500.40653750405886,"5,6",A10/N10
33,11,PL en transit,513.4905700360246,"5,6",A10/N10
34,11,Vehicules Legers,4039.0,"5,6",A10/N10
35,11,PL locaux,508.50942996397544,"5,6",A10/N10
36,12,PL en transit,517.2491145218416,"5,6",A10/N10
37,12,Vehicules Legers,4061.0,"5,6",A10/N10
38,12,PL locaux,447.75088547815835,"5,6",A10/N10
39,13,PL en transit,500.2213472384803,"5,6",A10/N10
40,13,Vehicules Legers,4277.0,"5,6",A10/N10
41,13,PL locaux,441.7786527615197,"5,6",A10/N10
42,14,PL en transit,475.8432573551562,"5,6",A10/N10
43,14,Vehicules Legers,4647.0,"5,6",A10/N10
44,14,PL locaux,487.1567426448438,"5,6",A10/N10
45,15,PL en transit,465.0251261456081,"5,6",A10/N10
46,15,Vehicules Legers,5146.0,"5,6",A10/N10
47,15,PL locaux,475.9748738543919,"5,6",A10/N10
48,16,PL en transit,436.9548432381844,"5,6",A10/N10
49,16,Vehicules Legers,6227.0,"5,6",A10/N10
50,16,PL locaux,409.0451567618156,"5,6",A10/N10
51,17,PL en transit,348.5668419595903,"5,6",A10/N10
52,17,Vehicules Legers,6801.0,"5,6",A10/N10
53,17,PL locaux,369.4331580404097,"5,6",A10/N10
54,18,PL en transit,346.4335492908422,"5,6",A10/N10
55,18,Vehicules Legers,6149.0,"5,6",A10/N10
56,18,PL locaux,335.5664507091578,"5,6",A10/N10
57,19,PL en transit,440.08763523956725,"5,6",A10/N10
58,19,Vehicules Legers,4602.0,"5,6",A10/N10
59,19,PL locaux,298.91236476043275,"5,6",A10/N10
60,20,PL en transit,412.4158942670786,"5,6",A10/N10
61,20,Vehicules Legers,2791.0,"5,6",A10/N10
62,20,PL locaux,248.5841057329214,"5,6",A10/N10
63,21,PL en transit,369.49766511007346,"5,6",A10/N10
64,21,Vehicules Legers,1656.0,"5,6",A10/N10
65,21,PL locaux,157.50233488992654,"5,6",A10/N10
66,22,PL en transit,301.4434014356709,"5,6",A10/N10
67,22,Vehicules Legers,1232.0,"5,6",A10/N10
68,22,PL locaux,126.55659856432908,"5,6",A10/N10
69,23,PL en transit,261.9052369077307,"5,6",A10/N10
70,23,Vehicules Legers,845.0,"5,6",A10/N10
71,23,PL locaux,122.09476309226932,"5,6",A10/N10
0,0,PL en transit,8.95687468290208,"7,8",N89
1,0,Vehicules Legers,148.0,"7,8",N89
2,0,PL locaux,17.043125317097918,"7,8",N89
3,1,PL en transit,7.259552042160737,"7,8",N89
4,1,Vehicules Legers,93.0,"7,8",N89
5,1,PL locaux,22.74044795783926,"7,8",N89
6,2,PL en transit,9.966850828729282,"7,8",N89
7,2,Vehicules Legers,78.0,"7,8",N89
8,2,PL locaux,31.03314917127072,"7,8",N89
9,3,PL en transit,11.866156787762907,"7,8",N89
10,3,Vehicules Legers,90.0,"7,8",N89
11,3,PL locaux,46.133843212237096,"7,8",N89
12,4,PL en transit,15.88674033149171,"7,8",N89
13,4,Vehicules Legers,178.0,"7,8",N89
